aX,aY,aZ,gX,gY,gZ
"
0.948",-0.594,-0.125,-18.433,-5.066,-24.109
"
0.916",-0.619,-0.071,-21.912,-6.348,-19.836
"
0.874",-0.612,-0.018,-24.414,-12.390,-15.808
"
0.833",-0.636,0.017,-22.156,-19.104,-11.658
"
0.785",-0.675,0.031,-17.273,-23.499,-6.409
"
0.770",-0.706,0.046,-12.634,-20.996,-0.061
"
0.765",-0.720,0.062,-9.216,-14.343,5.310
"
0.775",-0.734,0.072,-5.920,-5.310,8.972
"
0.791",-0.753,0.069,-0.916,5.371,10.620
"
0.805",-0.791,0.044,6.592,16.724,11.230
"
0.813",-0.846,-0.001,14.282,28.198,13.550
"
0.865",-0.902,-0.068,18.982,39.978,18.127
"
0.968",-0.944,-0.139,18.188,51.208,22.888
"
1.058",-0.980,-0.177,12.390,59.387,23.804
"
1.115",-1.000,-0.180,4.822,65.125,19.836
"
1.141",-1.020,-0.163,-1.770,69.214,14.893
"
1.150",-1.054,-0.143,-5.920,74.219,12.024
"
1.164",-1.099,-0.113,-8.301,81.238,12.329
"
1.183",-1.139,-0.083,-9.216,92.590,13.855
"
1.223",-1.147,-0.061,-8.606,105.408,15.930
"
1.249",-1.084,-0.024,-4.456,110.107,21.729
"
1.244",-1.004,0.007,8.118,98.633,35.889
"
1.228",-0.938,0.021,29.480,72.083,57.861
"
1.236",-0.877,0.020,54.199,38.391,80.933
"
1.231",-0.808,-0.028,76.233,5.188,98.694
"
1.178",-0.760,-0.077,90.027,-26.062,109.436
"
1.065",-0.740,-0.119,92.285,-49.622,113.525
"
0.931",-0.711,-0.148,80.872,-56.641,112.488
"

0.437",2.239,-0.106,-158.997,55.298,143.616
"
0.850",2.267,-0.128,-139.954,68.054,152.283
"
1.134",2.052,-0.058,-109.802,76.111,160.034
"
1.338",1.930,-0.077,-82.336,54.932,139.404
"
1.392",1.695,-0.077,-58.594,18.433,109.863
"
1.410",1.497,-0.035,-40.710,-31.799,78.186
"
1.328",1.407,0.044,-28.320,-82.520,47.791
"
1.191",1.323,0.144,-12.939,-118.530,22.461
"
1.002",1.257,0.211,8.911,-137.817,2.136
"
0.779",1.133,0.228,36.133,-138.977,-12.756
"
0.558",0.976,0.133,65.125,-127.625,-28.687
"
0.357",0.871,-0.040,90.332,-110.107,-41.748
"
0.252",0.768,-0.244,104.919,-87.097,-43.884
"
0.255",0.699,-0.427,107.422,-59.814,-34.912
"
0.332",0.634,-0.554,99.304,-34.180,-22.949
"
0.456",0.599,-0.646,82.947,-17.273,-14.221
"
0.572",0.576,-0.677,60.242,-9.277,-9.949
"
0.661",0.583,-0.639,36.621,-7.507,-9.521
"
0.724",0.605,-0.521,14.526,-8.789,-11.292
"
0.769",0.668,-0.393,-3.418,-13.123,-14.282
"
0.795",0.727,-0.268,-13.306,-17.334,-17.639
"
0.813",0.771,-0.150,-14.587,-20.020,-19.775
"
0.830",0.805,-0.062,-9.460,-18.738,-20.752
"
0.870",0.833,-0.024,-0.854,-12.573,-20.813
"
0.913",0.852,-0.036,9.521,-4.578,-21.790
"
0.951",0.856,-0.083,18.005,2.502,-25.452
"
0.978",0.833,-0.142,23.071,7.019,-30.884
"
0.986",0.779,-0.190,22.949,6.470,-36.682
"
0.969",0.779,-0.186,16.479,1.892,-42.908
"
0.939",0.807,-0.144,7.996,-3.113,-49.438
"
0.925",0.847,-0.088,3.418,-6.531,-55.420
"
0.926",0.891,-0.045,3.113,-8.789,-59.509
"
0.958",0.935,-0.010,5.005,-11.902,-62.317
"
0.997",0.990,0.041,6.409,-18.433,-66.040
"
0.998",1.021,0.108,6.775,-26.001,-73.242
"
0.945",1.041,0.152,9.766,-32.593,-81.848
"
0.883",1.000,0.168,16.479,-38.086,-87.402
"
0.792",0.950,0.178,23.560,-40.649,-89.661
"
0.710",0.895,0.183,29.480,-38.879,-89.294
"
0.658",0.807,0.196,32.837,-32.043,-86.243
"
0.637",0.762,0.226,33.386,-19.897,-81.604
"
0.671",0.754,0.247,33.447,-5.249,-77.148
"
0.757",0.748,0.251,35.645,9.949,-72.998
"
0.837",0.746,0.234,41.382,21.973,-73.853
"
0.869",0.710,0.189,51.575,26.306,-79.529
"
0.842",0.643,0.137,62.805,23.010,-84.839
"
0.845",0.576,0.059,70.862,15.015,-84.900
"
0.864",0.473,-0.014,73.059,4.822,-80.566
"
0.875",0.374,-0.029,69.031,-2.808,-75.684
"
0.849",0.322,-0.013,61.035,-8.423,-72.754
"
0.816",0.252,0.029,54.077,-10.620,-70.251
"
0.791",0.183,0.059,49.927,-8.118,-66.650
"
0.778",0.141,0.096,47.607,-1.099,-63.904
"
0.800",0.119,0.120,46.387,7.446,-61.462
"
0.842",0.096,0.118,46.753,11.963,-58.228
"
0.899",0.083,0.066,48.645,11.658,-54.321
"
0.942",0.037,0.015,49.744,7.080,-51.453
"
0.962",-0.006,-0.026,46.631,0.977,-50.110
"
0.956",-0.062,-0.037,39.063,-6.165,-47.363
"
0.922",-0.104,-0.026,30.518,-9.888,-44.434
"
0.922",-0.129,-0.012,22.156,-6.348,-43.030
"
0.903",-0.164,0.001,14.343,0.244,-44.434
"
0.842",-0.224,0.009,8.850,7.690,-46.692
"
0.802",-0.271,-0.001,4.333,15.808,-46.875
"
0.811",-0.298,-0.021,-1.770,20.203,-44.006
"
0.780",-0.351,0.001,-9.460,16.479,-40.039
"
0.731",-0.394,0.050,-17.029,8.423,-33.569
"
0.702",-0.419,0.090,-21.606,0.488,-23.193
"
0.738",-0.428,0.115,-22.522,-5.920,-10.254
"
0.805",-0.427,0.121,-20.508,-9.277,-0.549
"
0.905",-0.440,0.106,-16.968,-11.780,3.906
"
0.955",-0.478,0.073,-14.099,-19.104,3.784
