aX,aY,aZ,gX,gY,gZ
"
0.273",-0.365,-0.111,-230.469,-81.787,-29.724
"
0.266",-0.342,-0.033,-231.201,-80.444,-31.189
"
0.224",-0.312,0.032,-228.821,-83.679,-31.555
"
0.211",-0.336,0.037,-222.595,-93.628,-28.748
"
0.180",-0.361,0.045,-220.093,-102.112,-28.198
"
0.151",-0.381,0.053,-224.487,-108.032,-30.457
"
0.131",-0.366,0.120,-234.375,-111.938,-33.936
"
0.107",-0.290,0.239,-246.887,-111.694,-39.124
"
0.087",-0.238,0.372,-253.479,-111.145,-42.664
"
0.055",-0.232,0.432,-253.296,-113.403,-44.067
"
0.049",-0.214,0.475,-252.197,-116.943,-43.945
"
0.000",-0.204,0.539,-248.108,-123.413,-42.480
"
-0.060",-0.204,0.590,-242.371,-129.333,-39.001
"
-0.131",-0.221,0.623,-237.793,-127.441,-34.485
"
-0.169",-0.223,0.641,-237.000,-114.319,-30.273
"
-0.121",-0.216,0.613,-241.394,-92.041,-26.245
"
-0.033",-0.191,0.610,-250.854,-71.045,-25.452
"
0.023",-0.107,0.684,-262.390,-58.655,-29.053
"
0.079",-0.026,0.747,-267.151,-60.425,-31.372
"
0.092",0.050,0.869,-264.099,-74.341,-30.212
"
0.039",0.137,0.998,-253.784,-95.520,-28.442
"
-0.023",0.160,1.087,-236.938,-119.446,-24.536
"
-0.096",0.125,1.115,-221.680,-138.000,-21.118
"
-0.149",0.088,1.114,-213.928,-140.747,-20.996
"
-0.154",0.050,1.085,-216.187,-129.517,-25.330
"
-0.146",0.061,1.127,-230.347,-108.276,-35.889
"
-0.125",0.158,1.251,-248.596,-84.167,-47.180
"
-0.081",0.259,1.435,-255.554,-67.505,-52.429
"
-0.106",0.354,1.628,-244.446,-62.134,-51.208
"
-0.169",0.384,1.691,-218.384,-65.674,-44.434
"
-0.223",0.305,1.713,-186.768,-69.580,-34.973
"
-0.270",0.222,1.711,-163.269,-69.946,-27.832
"
-0.321",0.180,1.758,-151.855,-65.552,-24.719
