aX,aY,aZ,gX,gY,gZ
"
-0.222",0.161,-0.689,-4.700,-42.542,40.833
"
-0.187",0.128,-0.753,2.075,-18.127,40.771
"
-0.225",0.086,-0.824,9.460,-8.057,40.955
"
-0.343",0.044,-0.876,14.587,-9.094,39.612
"
-0.523",0.018,-0.923,15.991,-17.212,36.865
"
-0.729",0.027,-0.938,15.747,-28.748,37.170
"
-0.934",0.069,-0.963,15.930,-40.039,41.992
"
-1.067",0.119,-1.000,19.531,-47.424,49.316
"
-1.121",0.195,-1.065,25.269,-51.575,61.157
"
-1.107",0.246,-1.151,31.677,-56.152,75.867
"
-1.085",0.266,-1.234,37.048,-65.125,92.896
"
-1.034",0.281,-1.296,37.598,-76.172,110.535
"
-0.998",0.297,-1.327,32.593,-84.778,126.465
"
-0.969",0.299,-1.302,23.499,-89.661,138.794
"
-0.962",0.302,-1.256,12.207,-91.614,149.048
"
-0.945",0.316,-1.174,2.136,-91.248,161.011
"
-0.935",0.320,-1.090,-5.676,-86.670,173.645
"
-0.890",0.318,-1.022,-11.536,-75.684,186.646
"
-0.813",0.331,-0.968,-16.479,-59.753,199.280
"
-0.713",0.341,-0.911,-17.944,-46.753,211.060
"
-0.639",0.351,-0.846,-15.686,-39.734,221.802
"
-0.608",0.372,-0.790,-9.644,-39.063,231.384
"
-0.591",0.378,-0.731,0.244,-41.870,240.356
"
-0.580",0.360,-0.719,13.550,-46.570,248.535
"
-0.568",0.293,-0.736,27.161,-51.392,254.883
"
-0.592",0.183,-0.778,36.377,-55.786,259.521
"
-0.552",0.102,-0.868,38.879,-59.570,263.977
"
-0.475",0.103,-0.792,24.719,-62.073,263.611
"
-0.535",0.229,-0.629,-2.197,-62.622,255.859
"
-0.620",0.324,-0.539,-16.357,-57.129,251.160
"
-0.664",0.373,-0.516,-12.268,-45.410,256.775
"
-0.659",0.421,-0.507,-2.563,-31.433,269.409
"
-0.632",0.476,-0.501,8.606,-13.855,282.104
"
-0.575",0.539,-0.554,22.949,2.441,295.776
"
-0.378",0.526,-0.648,35.950,14.404,309.448
"
-0.250",0.763,-1.174,36.011,-1.038,309.998
"
-0.138",0.709,-0.639,38.635,25.513,311.401
"
-0.023",0.873,-0.801,34.973,-18.188,307.373
"
-0.036",0.929,-0.825,37.476,-62.988,298.279
